ID,Stepartist,Pack,Difficulty,Mode,Rating,Song,BPM,Steps,Measures,Length,16ths,24ths,32nds,Break,% Stream,Adj. % Stream,S/B Ratio,Density,Adj. Density,Breakdown,Tier,16ths Mod,16ths Rank,Diff Rating,Score,DP,EP,DP+EP,DP/EP,RP,AP,Total (no bonuses),Total
114,Aoreo,BangerZ 3,Expert,Single,27,Death Moon (Hard),320,1986,212,2.65,98,0,0,90,0.4623,0.5213,1.09,12.73,13.73,2 (2) 2 (4) 16 (6) 2 (6) 2 (6) 2 (6) 2 (16) 32 (8) 2 (6) 2 (14) 2 (16) 32,320,34.55941923,3,104.5,1,770,87,857,98,5000,1000,5857,6857
115,Zaia,fof,Expert,Single,27,Floor Master Battle (For Master Bat),330,1206,119,1.44,50,0,0,56,0.4202,0.4717,0.89,14.8,15.07,1 (7) 1 (19) 16 (4) 1 (7) 1 (19) 30,330,15.02572397,1,104.5,1,924,0,924,380,5000,1000,5924,6924
116,Zaia,Saitama's Ultimate Weapon,Expert,Single,27,Battle (Medium) (Shin Megami Tensei),335,2083,198,2.36,76,0,0,99,0.3838,0.4343,0.77,14.99,15.48,16 (4) 4 (4) 4 (26) 2 (17) 3 (8) 4 (16) 16 (16) 16 (4) 4 (4) 7,330,20.01139292,2,104.5,1,1000,44,1044,887,5000,1000,6044,7044
117,Zaia,Theoretical Sharpnel Pack,Expert,Single,28,Klassiker Einheit FB 285,285,5097,332,4.65,317,0,0,12,0.9548,0.9635,26.38,18.43,18.38,/48/ (8) /163/,280,298.6909145,18,126.5,1,77,895,972,735,6000,1000,6972,7972
118,UVCat,Stamina Secret Santa 2021,Expert,Single,28,Itachi Theme,288,5542,410,5.69,334,0,0,25,0.8146,0.9051,13.36,16.63,17.8,14 (2) 24 (8) 23 6 (2) 15 7 7 7 7 47 15 96 (8) 23 (3) 23 4 (2) 5 11,280,284.748189,17,126.5,1,124,843,967,712,6000,1000,6967,7967
119,StoryTime,Trails of Cold Stream IV,Expert,Single,28,The Decisive Collision FP 282,282,5619,373,5.29,350,0,0,0,0.9383,1,0,18.04,18.8,350,280,350,20,126.5,1,31,1000,1031,1000,6000,1000,7031,8031
120,StarrySergal,Enjou Stamina Package,Expert,Single,28,Rollercoaster (F-Zero),280,5883,378,5.4,360,0,0,10,0.9524,0.9626,36,18.3,18.29,7 (2) 65 7 (2) 65 7 (2) 65 7 (2) 65 7 (2) 65,280,338.7005271,19,126.5,1,0,948,948,627,6000,1000,6948,7948
121,StoryTime,big waves,Expert,Single,28,When Life Comes,296,3895,287,3.88,236,0,0,28,0.8223,0.8939,8.43,17.41,17.96,136 (28) 100,290,197.230603,14,126.5,1,247,685,932,555,6000,1000,6932,7932
122,Levitas,fof,Expert,Single,28,Flowering Night Fever,290,4161,288,3.97,244,0,0,28,0.8472,0.8841,8.71,18.09,18.16,21 (5) 28 15 16 (8) 15 (10) 23 68 (3) 12 14 (2) 32,290,200.3512476,15,126.5,1,154,737,891,370,6000,1000,6891,7891
123,Levitas,Trails of Cold Stream IV,Expert,Single,28,Don't Be Defeated By A Friend! (Super Arrange),293,4254,329,4.49,248,0,0,51,0.7538,0.8294,5.16,16.15,16.94,/47/ ~1~ /39/ (15) /33/ ~1~ (17) /46/,290,183.8544434,13,126.5,1,200,632,832,104,6000,1000,6832,7832
124,Levitas,Big Waves,Expert,Single,28,Mission Complete,293,5397,381,5.21,327,0,0,50,0.8583,0.8674,6.61,17.4,17.4,/160/ (33) /2/ /56/,290,260.4346835,16,126.5,1,200,790,990,816,6000,1000,6990,7990
125,Levitas,Trails of Bad Waveforms 4,Expert,Single,28,Deadly Temptation FB 308,308,1855,133,1.73,114,0,0,0,0.8571,1,0,18.31,20.53,114,300,114,9,126.5,1,431,422,853,199,6000,1000,6853,7853
126,nico,fof 2 - secret santa,Expert,Single,28,Urn (Part 1),300,3705,285,3.8,216,0,0,32,0.7579,0.8571,6.75,18.38,18.37,59 32 30 32 31 (16) 16 (16) 16,300,168.7734559,12,126.5,1,308,579,887,352,6000,1000,6887,7887
127,StoryTime,big waves,Expert,Single,28,Junkie,300,3695,268,3.57,219,0,0,43,0.8172,0.8327,5.09,17.36,17.51,15 (17) 17 (3) 47 (17) 17 (3) 73 (3) 35 15,300,163.39013,11,126.5,1,308,527,835,118,6000,1000,6835,7835
128,Zaia,Petriform's Factory,Expert,Single,28,Departure 6 FB 304,304,4258,325,4.28,232,0,0,66,0.7138,0.7759,3.52,16.91,17.59,16 (8) 1 14 (2) 14 (8) 1 (2) 14 (2) 30 (18) 32 (24) 78 (2) 32,300,154.5885017,10,126.5,1,370,474,844,158,6000,1000,6844,7844
129,Zaia,Dump Dump Revolution,Expert,Single,28,Frozen Ray ~for EXTREME~,312,1619,138,1.77,96,0,0,0,0.6957,1,0,17.84,20.8,96,310,96,8,126.5,1,493,369,862,239,6000,1000,6862,7862
130,StoryTime,fofmas 2,Expert,Single,28,Fermion,312,1863,133,1.71,111,0,0,16,0.8346,0.8672,6.94,18.77,18.76,31 48 (16) 32,310,88.37182208,7,126.5,1,493,316,809,0,6000,1000,6809,7809
131,Levitas,Theoretical Chiptune Pack,Expert,Single,28,Horizon,320,1588,134,1.67,93,0,0,16,0.694,0.8304,5.81,16.04,18.23,15 15 15 16 (16) 32,320,69.07846736,6,126.5,1,616,264,880,320,6000,1000,6880,7880
132,YourVinished,Trails of Cold Stream IV,Expert,Single,28,Like a Whirlwind,324,1804,145,1.8,100,0,0,33,0.6897,0.7519,3.29,17.09,17.66,/2/ (10) /22/ (8) /42/ (3) 1 /1/ 1,320,63.36597705,5,126.5,1,677,211,888,356,6000,1000,6888,7888
133,tyler.exe,tyler.exe,Expert,Single,28,Connect 1986,336,1636,160,1.9,84,0,0,48,0.525,0.6364,2.72,15.07,16.15,1 *17* (7) 1 (7) 1 (2) *2* (2) *2* 4 *21*,330,40.76125618,3,126.5,1,862,106,968,717,6000,1000,6968,7968
134,Levitas,Theoretical Chiptune Pack,Expert,Single,28,Last Chance (Hard),330,1694,205,2.49,84,0,0,36,0.4098,0.7,2.33,13.05,16.99,/24/ (24) /32/,330,47.47184928,4,126.5,1,770,158,928,537,6000,1000,6928,7928
135,Levitas,Theoretical Chiptune Pack,Expert,Single,28,Oh Delia (Hard),345,970,148,1.72,48,0,0,48,0.3243,0.5,1,10.34,13.13,/16/ (32) /16/,340,15.83409493,1,126.5,1,1000,0,1000,861,6000,1000,7000,8000
136,nv,epicer,Expert,Single,28,Proof of the existence,340,1190,128,1.51,64,0,0,32,0.5,0.6667,2,14.29,16.82,16 (16) 16 (16) 32,340,33.45559069,2,126.5,1,924,53,977,757,6000,1000,6977,7977
137,Zaia,fof,Expert,Single,29,Groovy Rollercoaster Acid Trip,300,3985,261,3.54,240,0,0,14,0.9195,0.9449,17.14,18.98,19.18,120 (14) 120,300,219.1939687,9,141.5,1,0,889,889,547,7000,1000,7889,8889
138,nv,big waves,Expert,Single,29,USAO ULTIMATE HYPER MEGA MIX,300,5304,381,5.08,315,0,0,24,0.8268,0.9292,27.25,18.19,19.08,/35/ 3 /1/ 3 /2/ 1 /1/ 1 /3/ /24/ (8) /144/,300,280.0820494,10,141.5,1,0,1000,1000,889,7000,1000,8000,9000
139,Zaia,fof,Expert,Single,29,God Against God FP 315,315,2368,161,2.04,144,0,0,0,0.8944,1,0,20.58,21,144,310,144,7,141.5,1,300,667,967,788,7000,1000,7967,8967
140,Chief Skittles,Trails of Cold Stream IV,Expert,Single,29,Scarlet Tempest Super Arrange,310,3352,248,3.2,196,0,0,24,0.7903,0.8909,10.1,18.19,18.94,1 *40* (3) 1 *40* (7) 1 *18*,310,162.9230027,8,141.5,1,200,778,978,821,7000,1000,7978,8978
141,Zaia,Dump Dump Revolution,Expert,Single,29,MaxX AttaxX,320,1676,124,1.55,98,0,0,2,0.7903,0.98,49,19.95,21.05,2 (2) 96,320,94.88286653,5,141.5,1,400,445,845,411,7000,1000,7845,8845
142,Zaia,Saitama's Ultimate Weapon,Expert,Single,29,Mad General,324,3401,257,3.17,188,0,0,40,0.7315,0.8246,4.7,18.15,19.1,80 (18) 60 (2) 2 (6) 30 (14) 16,320,138.0852142,6,141.5,1,480,556,1036,1000,7000,1000,8036,9036
143,Levitas,Big Waves,Expert,Single,29,ENDYMION,330,1849,166,2.02,87,0,0,42,0.5241,0.6744,5.14,15.84,18.15,/13/ (2) 1 /7/ 1 /5/ 1 1 /5/ 1 1 /5/ (2) 1 /6/ 2 /5/ 2 (7) /1/ 1 /1/ 1 (3) 1 /10/,330,46.32200522,2,141.5,1,600,112,712,0,7000,1000,7712,8712
144,Zaia,fof,Expert,Single,29,Aerostorm (Hard),333,2199,174,2.09,120,0,0,46,0.6897,0.7229,2.61,17.74,18.1,36 (17) 52 (29) 32,330,71.40134712,4,141.5,1,660,334,994,871,7000,1000,7994,8994
145,Chief Skittles,bigger waves,Expert,Single,29,MAXiMUM 340,340,1803,167,1.96,100,0,0,48,0.5988,0.6757,2.08,16.27,16.79,48 (20) 24 (16) 17 (3) 1 (3) 1 (3) 1 (3) 8,340,53.4079945,3,141.5,1,800,223,1023,960,7000,1000,8023,9023
146,Aoreo,Bangerz 3,Expert,Single,29,Golden Mouth of Ruin,350,1707,182,2.08,66,0,0,82,0.3626,0.4459,0.8,13.99,15.26,2 (33) 29 (25) 4 (24) 31,350,18.12691471,1,141.5,1,1000,0,1000,889,7000,1000,8000,9000
147,Zaia,Saitama's Ultimate Weapon,Expert,Single,30,Aggressor,316,3794,249,3.15,231,0,0,13,0.9277,0.9467,17.77,20.39,20.4,55 (9) 172 (4) 4,310,211.6175993,9,151.5,1,120,889,1009,868,8000,1000,9009,10009
148,Levitas,Big Waves,Expert,Single,30,Judgment Of Will,310,4009,267,3.45,249,0,0,0,0.9326,0.996,0,19.54,20.62,1 248,310,247.4083133,10,151.5,1,0,1000,1000,834,8000,1000,9000,10000
149,Zaia,fof,Expert,Single,30,Runengon,320,3518,239,5.49,211,0,0,17,0.8828,0.9254,12.41,11.19,11.16,8 (17) 203,320,186.3844376,7,151.5,1,200,667,867,344,8000,1000,8867,9867
150,StoryTime,big waves,Expert,Single,30,Better Off This Way,320,3657,264,3.3,222,0,0,16,0.8409,0.9328,13.88,18.97,20.07,176 (16) 46,320,198.6161843,8,151.5,1,200,778,978,753,8000,1000,8978,9978
151,Levitas,big waves,Expert,Single,30,S,332,1896,165,1.99,112,0,0,16,0.6788,0.875,7,18.21,19.84,96 (16) 16,330,90.45465208,4,151.5,1,440,334,774,0,8000,1000,8774,9774
152,Levitas,Theoretical Trails Pack,Expert,Single,30,Overcome the Rocky Path (Hard),330,2043,150,1.82,123,0,0,18,0.82,0.8723,6.83,19.51,19.84,/2/ (2) /8/ (2) /30/ (8) /42/,330,98.84859651,6,151.5,1,400,556,956,672,8000,1000,8956,9956
153,Zaia,Dump Dump Revolution,Expert,Single,30,DYNAMITE RAVE (B4 ZA BEAT MIX),340,1630,128,1.51,92,0,0,0,0.7188,1,0,18.93,20.56,4 *8* *15* *8* *7* *8*,340,92,5,151.5,1,600,445,1045,1000,8000,1000,9045,10045
154,Zaia,Dump Dump Revolution,Expert,Single,30,Under the Sky,340,1632,158,1.86,93,0,0,18,0.5886,0.8304,5.17,15.73,19.66,31 46 (18) 16,340,69.07846736,3,151.5,1,600,223,823,181,8000,1000,8823,9823
155,Levitas,Big Waves,Expert,Single,30,Force Your Way,350,1569,154,1.76,81,0,0,64,0.526,0.5586,1.27,15.25,15.55,33 (64) 48,350,31.90410082,2,151.5,1,800,112,912,510,8000,1000,8912,9912
156,Levitas,Big Waves,Expert,Single,30,squartatrice (Restep),360,1147,135,1.5,56,0,0,32,0.4148,0.6364,1.75,14.34,17.16,24 (32) 32,360,27.17417079,1,151.5,1,1000,0,1000,834,8000,1000,9000,10000
157,Levitas,Big Waves,Expert,Single,31,Blue Crew,320,4865,322,4.03,304,0,0,0,0.9441,1,0,21.34,21.33,304,320,304,6,159.5,1,0,1000,1000,231,9000,1000,10000,11000
158,Levitas,Theoretical Chiptune Pack,Expert,Single,31,Sungazer,332,2557,194,2.34,158,0,0,2,0.8144,0.9875,79,20.1,21.93,38 (2) 120,330,154.8518698,5,159.5,1,231,800,1031,470,9000,1000,10031,11031
159,Levitas,Theoretical DDR Pack,Expert,Single,31,Flower,346,1874,173,2,107,0,0,40,0.6185,0.7279,2.67,16.57,17.68,45 (3) 32 (2) 2 (2) 2 (2) 2 (2) 1 (21) 16 (2) 2 (2) 2 (2) 2 (2) 1,340,64.3722262,4,159.5,1,500,600,1100,1000,9000,1000,10100,11100
160,Levitas,Theoretical Nonexistent Pack,Expert,Single,31,Atmos Break,350,1548,129,1.47,89,0,0,20,0.6899,0.8091,4.45,18.97,19.9,46 (17) 14 (3) 14 15,350,63.41522366,3,159.5,1,577,400,977,54,9000,1000,9977,10977
161,Zaia,Dump Dump Revolution,Expert,Single,31,MAX 360,360,1869,176,1.96,96,0,0,51,0.5455,0.6275,1.88,16.99,17.74,48 (16) 7 (2) 7 (12) 6 4 (21) 17 1 3 1 1 1,360,45.54631037,2,159.5,1,770,200,970,0,9000,1000,9970,10970
162,Levitas,Theoretical DDR Pack,Expert,Single,31,Valkyrie Dimension,372,1249,145,6.45,64,0,0,52,0.4414,0.5517,1.23,3.32,3.68,32 (52) 32,370,24.71182093,1,159.5,1,1000,0,1000,231,9000,1000,10000,11000
163,Levitas,Theoretical Trails Pack,Expert,Single,32,Trails of Cold Stream SC (Part 5) FB 321,321,9984,715,8.92,607,0,0,59,0.849,0.9114,11.33,18.78,19.82,/168/ (8) /72/ (4) /122/ (10) 1 /29/ 1 (14) 1 /14/,320,523.2667388,3,164,1,0,1000,1000,1000,10000,1000,11000,12000
164,Levitas,SRPG6,Expert,Single,32,Skyclad Observer (Orchestral Rock arrange),340,3824,326,3.84,234,0,0,22,0.7178,0.9141,10.64,19.92,20.96,31 (3) 102 (16) 31 (3) 70,340,202.6776181,2,164,1,359,500,859,0,10000,1000,10859,11859
165,Levitas,Theoretical Chiptune Pack,Expert,Single,32,Fighting The Inhuman (The Inhuman),374,1332,112,1.2,72,0,0,26,0.6429,0.7347,2.82,18.93,20.21,/16/ (17) /32/,370,43.9651501,1,164,1,1000,0,1000,1000,10000,1000,11000,12000
