ID,Stepartist,Pack,Difficulty,Mode,Rating,Song,BPM,Steps,Measures,Length,16ths,24ths,32nds,Break,% Stream,Adj. % Stream,S/B Ratio,Density,Adj. Density,Breakdown,Tier,16ths Mod,16ths Rank,Diff Rating,Score,DP,EP,DP+EP,DP/EP,RP,AP,Total (no bonuses),Total,
122,JWong,shit,Expert,Single,23,In Tango,264,2524,226,3.42,139,0,0,59,0.615,0.6847,2.36,12.56,13.45,15 15 15 7 8 (8) 15 16 (16) 16 (19) 1 (16) 31,260,75.82550735,6,116,1,740,250,990,758,6000,1000,6990,7990,
123,yutsi,selected yutsi works,Expert,Single,23,Dram Refresh (Dma 0) (Hard),276,1181,118,1.71,43,0,0,18,0.3644,0.7049,2.39,13.06,15.76,1 (3) 1 (7) 1 (8) 40,270,24.57380867,1,116,1,1000,0,1000,820,6000,1000,7000,8000,
124,nv,Recycle Bin Streams,Expert,Single,23,Curry Meshi is a Miracle,272,1374,124,1.82,72,0,0,38,0.5806,0.6545,1.89,12.87,13.68,16 (16) 8 (20) 32 (2) 16,270,36.54163185,2,116,1,914,50,964,597,6000,1000,6964,7964,
125,Sefirot,Sefirot'S SimfileS 5,Expert,Single,23,Heaven's vengeance,270,1891,155,2.3,92,0,0,49,0.5935,0.6479,1.88,14.28,14.4,1 (7) 1 27 (16) 40 (12) 1 (14) 22,270,45.94101597,4,116,1,870,150,1020,945,6000,1000,7020,8020,
126,YourVinished,Trails of Cold Stream IV,Expert,Single,23,Concept HMI (Hard),270,1791,167,2.47,100,0,0,64,0.5988,0.6098,1.56,12.29,12.28,32 (16) 32 (48) 36,270,45.3210405,3,116,1,870,100,970,634,6000,1000,6970,7970,
127,StoryTime,The Main Ingredient 2020,Expert,Single,24,For Creatures Such As We FB 246,246,6697,443,7.2,410,0,0,16,0.9255,0.9382,25.62,15.71,15.71,1 159 1 3 3 3 19 3 3 3 132 (16) 16 64,240,370.2171579,17,137,1,150,800,950,143,7000,1000,7950,8950,
128,Xynn,Xynn's Inferno,Expert,Single,24,The Eighth Circle - Fraud,240,9262,618,10.3,572,0,0,35,0.9256,0.9423,16.34,15.18,15.24,21 (8) 232 (7) 41 (8) 86 (8) 112 (2) 24 (2) 56,240,520.1142283,19,137,1,0,900,900,0,7000,1000,7900,8900,
129,yutsi StarrySergal,itg! Rhythm is just a step away,Expert,Single,24,Because Maybe! pt.3 FB 245,245,10076,735,12,585,0,0,124,0.7959,0.808,4.72,14.03,14.12,7 7 (5) 7 8 (2) 1 1 (18) 24 15 16 (8) 36 (2) 32 (8) 20 (18) 23 7 7 7 (9) 7 15 1 (3) 7 (3) 33 (3) 2 (2) 2 (2) 2 (2) 1 15 23 (3) 2 (2) 2 (2) 2 (2) 1 30 (4) 2 (2) 2 (2) 2 (2) 33 15 16 (4) 30 (2) 62 (10) 14 (2) 30 (2) 16,240,415.9240596,18,137,1,125,850,975,215,7000,1000,7975,8975,
130,SirDelins,Delins Incredibly Cool Content,Expert,Single,24,Satanic Static,240,10292,748,12.47,618,0,0,20,0.8262,0.9251,30.9,14.37,15.39,15 7 23 79 15 15 35 3 3 3 15 47 10 21 (16) 7 7 7 7 7 7 7 15 15 15 55 15 24 (4) 22 16 31 31 15 24,240,545.6201047,20,137,1,0,950,950,143,7000,1000,7950,8950,
131,t3a tyler.exe SirDelins,Delins Incredibly Cool Content 2,Expert,Single,24,Opasnyje Jadjernaja,240,20616,1680,28,1130,0,0,468,0.6726,0.689,2.41,12.45,12.48,7 7 7 8 (40) 8 (8) 15 23 7 56 (16) 16 (16) 7 16 23 (28) 2 (4) 30 (16) 15 16 (8) 6 (18) 17 1 1 1 1 1 1 1 (25) 17 1 1 1 24 (31) 1 (38) 1 24 (24) 24 (16) 31 (9) 6 (2) 63 16 (51) 1 (4) 31 14 (2) 7 8 (16) 54 (2) 7 48 (8) 70 (2) 14 (2) 16 (8) 33 32 (2) 1 3 7 55 1 2 4 2 2 4 10 (35) 33 (2) 6 7 1 10 (2) 15 16 (15) 17 (8) 8 (2) 16 12 20 (8) 40,240,622.6287903,21,137,1,0,1000,1000,286,7000,1000,8000,9000,
132,yutsi,yutsi B-sides,Expert,Single,24,To Make the End of Battle,255,3377,224,3.51,207,0,0,7,0.9241,0.9628,29.57,16.31,16.51,76 85 (7) 46,250,194.8175494,13,137,1,375,600,975,215,7000,1000,7975,8975,
133,Levitas,Trails of Cold Stream IV,Expert,Single,24,Glessing Way FB 250,250,3650,238,3.81,224,0,0,8,0.9412,0.9655,28,16.11,16.25,122 (4) 98 (4) 4,250,211.7637716,15,137,1,250,700,950,143,7000,1000,7950,8950,
134,JWong,69 Bayard,Expert,Single,24,Mr. Simple,256,3755,255,3.98,230,0,0,14,0.902,0.9426,16.43,16.22,16.35,112 (8) 40 (4) 16 (2) 62,250,209.2433829,14,137,1,400,650,1050,429,7000,1000,8050,9050,
135,tyler.exe,tyler.exe,Expert,Single,24,Vampire Edge FB 254,254,4125,286,4.5,253,0,0,21,0.8846,0.9234,12.05,15.82,15.89,33 (8) 16 (2) 30 (2) 16 (2) 126 (7) 32,250,222.7123567,16,137,1,350,750,1100,572,7000,1000,8100,9100,
136,zaniel,Zaniel's Junts 2,Expert,Single,24,Blinded by Fear (At The Gates Cover),260,2437,172,2.65,151,0,0,0,0.8779,0.9869,0,16.92,17.16,81 31 39,260,147.8475001,11,137,1,500,500,1000,286,7000,1000,8000,9000,
137,yutsi,yutsi-type beats,Expert,Single,24,Trojans,266,3457,298,4.48,168,1,0,74,0.5638,0.6942,4.43,13.3,13.88,1 (8) *4* *2* 1 (2) *5* 1 *6* 4 *4* *1* *10* (2) /1/ *14* 1 *7* 1 *6* *6* 8 (5) *8* ~1~ (6) *3* ~1~ *3* *3* *2*,260,93.68814857,9,137,1,650,400,1050,429,7000,1000,8050,9050,
138,JWong,Big Wong,Expert,Single,24,Russian Roulette,260,2986,227,3.49,178,0,0,30,0.7841,0.8558,5.93,14.91,15.33,30 (2) 29 (3) 30 (2) 29 (21) 29 (2) 31,260,138.7444609,10,137,1,500,450,950,143,7000,1000,7950,8950,
139,StoryTime,Pendulum Act IV,Expert,Single,24,Self vs. Self,261,4080,308,4.71,245,0,0,56,0.7955,0.814,4.56,14.72,14.78,/16/ (14) 1 /49/ (4) /64/ (18) /34/,260,176.2646132,12,137,1,525,550,1075,500,7000,1000,8075,9075,
140,Chief Skittles,bigger waves,Expert,Single,24,Knights Assault,276,1476,137,1.99,78,0,0,38,0.5693,0.6724,2.05,12.67,13.7,32 (14) 20 (10) 8 (14) 18,270,41.33319056,2,137,1,900,50,950,143,7000,1000,7950,8950,
141,tyler.exe,Big Waves,Expert,Single,24,Rainbow Tylenol,270,1605,123,1.82,92,0,0,22,0.748,0.807,4.18,14.92,15.47,2 (8) 32 (8) 32 (6) 26,270,65.28080225,8,137,1,750,350,1100,572,7000,1000,8100,9100,
142,StarrySergal,Big Waves,Expert,Single,24,Rocky Buinne,277,1989,165,2.38,105,0,0,43,0.6364,0.6908,2.44,14.26,14.72,1 (3) 2 7 7 24 (21) 4 (12) 19 8 (7) 33,270,58.09690881,5,137,1,925,200,1125,643,7000,1000,8125,9125,
143,Levitas,Theoretical Sharpnel Pack,Expert,Single,24,Drrrrrrr!,270,1940,189,2.8,107,0,0,42,0.5661,0.7181,2.54,12.54,13.75,/15/ (9) /15/ (17) /23/ (2) /18/,270,62.99116789,7,137,1,750,300,1050,429,7000,1000,8050,9050,
144,JNero,BangerZ 3,Expert,Single,24,Never Ending Story (Hard) (Power Club Vocal Mix),280,1143,123,1.76,64,0,0,32,0.5203,0.6667,2,12.58,13.28,16 (32) 48,280,33.45559069,1,137,1,1000,0,1000,286,7000,1000,8000,9000,
145,Chief Skittles,bigger waves,Expert,Single,24,RFN - III (Cut),280,1170,94,1.34,64,0,0,16,0.6809,0.8,4,14.84,15.98,48 (16) 16,280,44.78411055,3,137,1,1000,100,1100,572,7000,1000,8100,9100,
146,mattm,Stamina Alley,Expert,Single,24,Dogu Ditty,280,1463,113,2.82,82,0,0,16,0.7257,0.82,5.12,8.87,9.26,7 (4) 7 (8) 7 (4) 7 26 28,280,59.69198432,6,137,1,1000,250,1250,1000,7000,1000,8250,9250,
147,JWong,Posty,Expert,Single,24,When I'm Alone,280,2071,211,3.01,113,0,0,62,0.5355,0.642,1.82,12.72,13.48,16 (6) 1 (7) 1 15 (17) 32 (16) 16 (16) 32,280,55.60764313,4,137,1,1000,150,1150,715,7000,1000,8150,9150,
