ID,Stepartist,Pack,Difficulty,Mode,Rating,Song,BPM,Steps,Measures,Length,16ths,24ths,32nds,Break,% Stream,Adj. % Stream,S/B Ratio,Density,Adj. Density,Breakdown,Tier,16ths Mod,16ths Rank,Diff Rating,Score,DP,EP,DP+EP,DP/EP,RP,AP,Total (no bonuses),Total,
109,yutsi,selected yutsi works vol. 2,Expert,Single,17,Falz Double Hunar Theme,170,7190,455,10.71,448,0,0,4,0.9846,0.9912,112,11.27,11.27,243 (4) 205,170,441.7088323,20,116,1,0,950,950,512,6000,1000,6950,7950,
110,Rems & Nav & StripE & Fraxtil,French Coast Stamina 3,Expert,Single,17,The Enlightment,170,11771,853,20.07,671,0,0,152,0.7866,0.7998,4.41,9.88,9.92,7 47 32 (15) 1 (14) 1 62 (8) 17 14 (2) 7 38 13 (3) 32 (5) 27 31 63 4 (33) 1 (2) 62 (2) 64 (12) 4 (28) 68 (8) 8 (4) 3 8 15 6 (5) 3 14 (2) 7 1 1 3 (9) 7,170,469.3456098,21,116,1,0,1000,1000,651,6000,1000,7000,8000,
111,JNero,Jimmy Jawns 4,Expert,Single,17,Asereje (Speed Mix),185,3349,216,4.67,208,0,0,2,0.963,0.9858,104,12.18,12.21,14 (2) 70 124,180,203.29441,14,116,1,313,650,963,548,6000,1000,6963,7963,
112,Janus5k,Squirrel Singles,Expert,Single,17,The Black Widow of La Porte,180,4551,321,7.13,268,0,0,12,0.8349,0.8933,22.33,11.23,11.3,7 3 6 7 16 6 7 17 (4) 3 11 (4) 40 31 3 3 3 3 31 3 3 39 7 4 (4) 7 8,180,223.7332485,15,116,1,209,700,909,397,6000,1000,6909,7909,
113,ITGAlex,Bass Chasers,Expert,Single,17,Global Down,180,4742,329,7.31,288,0,0,34,0.8754,0.8944,8.47,11.05,11.04,96 (34) 192,180,240.9036347,16,116,1,209,750,959,537,6000,1000,6959,7959,
114,Nav,Psychedelia,Expert,Single,17,Funk It! + NN + So Damn Tough! Mash-Up FB 182,182,5561,418,9.19,305,0,0,79,0.7297,0.7741,3.86,10.29,10.52,27 (2) 7 3 12 1 (14) 7 7 11 (24) 2 (3) 52 (2) 89 (32) 1 (2) 1 23 7 7 7 41,180,202.4767435,13,116,1,250,600,850,232,6000,1000,6850,7850,
115,ITGAlex,ITGAlex's Stamina Singles ep.2,Expert,Single,17,fine night (telemist's remix vip),190,3090,227,4.78,183,0,0,24,0.8062,0.8798,7.62,10.97,11.53,64 (12) 3 16 (2) 30 (8) 40 (2) 30,190,149.0958042,9,116,1,417,400,817,140,6000,1000,6817,7817,
116,ExJam09,ExJam09 Jams,Expert,Single,17,La Morale De La Fable,190,3888,289,6.08,207,0,0,51,0.7163,0.7841,4.06,10.88,11.21,7 15 23 7 23 7 16 (15) 41 (2) 12 (2) 8 (32) 48,190,140.2699595,8,116,1,417,350,767,0,6000,1000,6767,7767,
117,Rems,bigger waves,Expert,Single,17,Do Androids Dream ?,190,3750,280,5.89,209,0,0,19,0.7464,0.8566,11,11.42,11.83,7 7 16 10 15 15 8 8 7 14 (2) 7 15 6 (2) 7 (5) 11 15 14 7 (2) 14 (5) 1 1 (3) 3 1,190,163.1515478,12,116,1,417,550,967,559,6000,1000,6967,7967,
118,ITGAlex,Noah,Expert,Single,17,Rebirth the end (Part I - Sasanqua),198,3967,332,6.71,219,0,0,78,0.6596,0.7374,2.81,10.59,10.76,32 (11) 17 (3) 4 (6) 48 (23) 19 (4) 17 (31) 82,190,134.5145082,6,116,1,584,250,834,188,6000,1000,6834,7834,
119,Zaia,Helblinde PDTA,Expert,Single,17,Yui & I,208,3158,287,5.51,164,0,0,97,0.5714,0.6189,1.69,10.07,10.14,8 7 32 (15) 1 (46) 4 (2) 14 (2) 15 (5) 31 (25) 4 (2) 1 31 16,200,76.10910595,4,116,1,792,150,942,489,6000,1000,6942,7942,
120,nv,epic,Expert,Single,17,Youth Pig Bastard,200,3118,224,4.48,183,0,0,17,0.817,0.8841,10.76,12.37,12.47,1 35 15 13 (11) 15 19 15 7 15 (3) 33 (3) 15,200,150.2634357,11,116,1,625,500,1125,1000,6000,1000,7125,8125,
121,Zaia,Dragonforce Kaioken,Expert,Single,17,Heart of the Storm,200,3319,233,4.66,193,0,0,29,0.8283,0.854,6.66,12.13,12.18,17 35 16 2 (2) 37 (17) 32 (2) 26 (8) 6 22,200,149.9304699,10,116,1,625,450,1075,861,6000,1000,7075,8075,
122,Chief Skittles,Skittles Stream Collection,Expert,Single,17,Whispers In The Dark,203,3489,306,6.03,212,0,0,65,0.6928,0.7571,3.26,10.54,10.54,16 (17) 22 40 (16) 7 32 (32) 23 72,200,135.8254194,7,116,1,688,300,988,618,6000,1000,6988,7988,
123,nv,The Joy Of Streaming 2,Expert,Single,17,Burning Throb,214,1254,101,1.89,71,0,0,20,0.703,0.7802,3.55,12.29,12.2,4 (7) 25 (8) 39 (5) 3,210,47.72960742,2,116,1,917,50,967,559,6000,1000,6967,7967,
124,Kyy,Kyypakkaus 2,Expert,Single,17,Goblin Humpa,218,1739,153,2.81,79,0,0,50,0.5163,0.594,1.58,10.53,11.3,3 3 2 (2) 11 12 (2) 1 (4) 2 (2) 3 2 (2) 11 (9) 12 (11) 2 (2) 3 (16) 12,210,34.33091695,1,116,1,1000,0,1000,651,6000,1000,7000,8000,
125,Archi,Stream Fantasy,Expert,Single,17,Mako Reactor 1 (Medium) Battle Edit,210,2116,195,3.71,120,0,0,45,0.6154,0.73,2.73,10.12,10.72,/24/ (15) 1 /40/ (15) 1 /16/,210,72.52668412,3,116,1,834,100,934,467,6000,1000,6934,7934,
126,JNero,Jimmy Jawns 4,Expert,Single,17,Unsainted,210,2380,201,3.83,123,0,0,32,0.6119,0.7834,3.84,11.02,11.8,23 16 (2) 23 16 (28) 14 (2) 31,210,83.22979386,5,116,1,834,200,1034,746,6000,1000,7034,8034,
